,,,,
,Decimal,Fraction,Metric,
,0.016,1/64,0.40,Nominal Size
,0.031,1/32,0.79,Nominal Size
,0.039,,1.00,Nominal Size
,0.047,3/64,1.20,Nominal Size
,0.063,1/16,1.59,Nominal Size
,0.078,5/64,1.98,Nominal Size
,0.079,,2.00,Nominal Size
,0.094,3/32,2.38,Nominal Size
,0.109,7/64,2.78,Nominal Size
,0.118,,3.00,Nominal Size
,0.125,1/8,3.18,Nominal Size
,0.130,,3.30,M4 Tapping Drill Size
,0.141,9/64,3.57,Nominal Size
,0.156,5/32,3.97,Nominal Size
,0.157,,4.00,Nominal Size
,0.165,,4.20,M5 Tapping Drill Size
,0.169,,4.30,M4 Close Fit Clearance Hole Size
,0.172,11/64,4.37,Nominal Size
,0.177,,4.50,M4 Medium Fit Clearance Hole Size
,0.187,3/16,4.76,Nominal Size
,0.189,,4.80,M4 Free Fit Clearance Hole Size
,0.197,,5.00,Nominal Size
,0.203,13/64,5.16,Nominal Size
,0.209,,5.30,M5 Close Fit Clearance Hole Size
,0.217,,5.50,M5 Medium Fit Clearance Hole Size
,0.219,7/32,5.56,Nominal Size
,0.228,,5.80,M5 Free Fit Clearance Hole Size
,0.234,15/64,5.95,Nominal Size
,0.236,,6.00,Nominal Size
,0.250,1/4,6.35,Nominal Size
,0.266,17/64,6.75,Nominal Size
,0.276,,7.00,Nominal Size
,0.281,9/32,7.14,Nominal Size
,0.297,19/64,7.54,Nominal Size
,0.313,5/16,7.94,Nominal Size
,0.315,,8.00,Nominal Size
,0.354,,9.00,Nominal Size
,0.375,3/8,9.53,
,0.394,,10.00,
,0.433,,11.00,
,0.437,7/16,11.11,
,0.500,1/2,12.70,
,0.512,,13.00,
,0.551,,14.00,
,0.563,9/16,14.29,
,0.591,,15.00,
,0.625,5/8,15.88,
,0.630,,16.00,
,0.669,,17.00,
,0.709,,18.00,
,0.748,,19.00,
,0.750,3/4,19.05,
,0.787,,20.00,
,0.827,,21.00,
,0.866,,22.00,
,0.875,7/8,22.23,
,0.906,,23.00,
,0.945,,24.00,
,0.984,,25.00,
,1.000,1,25.40,
